Season,RoundNumber,RaceName,Team,Driver,QualifyingPos,RaceFinishPos,RacePoints,TeamStd
2025,4,Bahrain Grand Prix,Red Bull Racing,VER,7.0,6.0,8.0,Red Bull Racing
2025,4,Bahrain Grand Prix,Williams,SAI,8.0,19.0,0.0,Williams
2025,4,Bahrain Grand Prix,Ferrari,HAM,9.0,5.0,10.0,Ferrari
2025,4,Bahrain Grand Prix,Red Bull Racing,TSU,10.0,9.0,2.0,Red Bull Racing
2025,4,Bahrain Grand Prix,Alpine,DOO,11.0,14.0,0.0,Alpine/Renault
2025,4,Bahrain Grand Prix,Racing Bulls,HAD,12.0,13.0,0.0,RB/AlphaTauri/Toro Rosso
2025,4,Bahrain Grand Prix,Aston Martin,ALO,13.0,15.0,0.0,Aston Martin/Racing Point/Force India
2025,4,Bahrain Grand Prix,Haas F1 Team,OCO,14.0,8.0,4.0,Haas
2025,4,Bahrain Grand Prix,Williams,ALB,15.0,12.0,0.0,Williams
2025,4,Bahrain Grand Prix,Kick Sauber,HUL,16.0,20.0,0.0,Sauber/Alfa Romeo
2025,4,Bahrain Grand Prix,Racing Bulls,LAW,17.0,16.0,0.0,RB/AlphaTauri/Toro Rosso
2025,4,Bahrain Grand Prix,Kick Sauber,BOR,18.0,18.0,0.0,Sauber/Alfa Romeo
2025,4,Bahrain Grand Prix,Aston Martin,STR,19.0,17.0,0.0,Aston Martin/Racing Point/Force India
2025,4,Bahrain Grand Prix,Haas F1 Team,BEA,20.0,10.0,1.0,Haas
2025,5,Saudi Arabian Grand Prix,Red Bull Racing,VER,1.0,2.0,18.0,Red Bull Racing
2025,5,Saudi Arabian Grand Prix,McLaren,PIA,2.0,1.0,25.0,McLaren
2025,5,Saudi Arabian Grand Prix,Mercedes,RUS,3.0,5.0,10.0,Mercedes
2025,5,Saudi Arabian Grand Prix,Ferrari,LEC,4.0,3.0,15.0,Ferrari
2025,5,Saudi Arabian Grand Prix,Mercedes,ANT,5.0,6.0,8.0,Mercedes
2025,5,Saudi Arabian Grand Prix,Williams,SAI,6.0,8.0,4.0,Williams
2025,5,Saudi Arabian Grand Prix,Ferrari,HAM,7.0,7.0,6.0,Ferrari
2025,5,Saudi Arabian Grand Prix,Red Bull Racing,TSU,8.0,19.0,0.0,Red Bull Racing
2025,5,Saudi Arabian Grand Prix,Alpine,GAS,9.0,20.0,0.0,Alpine/Renault
2025,5,Saudi Arabian Grand Prix,McLaren,NOR,10.0,4.0,12.0,McLaren
2025,5,Saudi Arabian Grand Prix,Williams,ALB,11.0,9.0,2.0,Williams
2025,5,Saudi Arabian Grand Prix,Racing Bulls,LAW,12.0,12.0,0.0,RB/AlphaTauri/Toro Rosso
2025,5,Saudi Arabian Grand Prix,Aston Martin,ALO,13.0,11.0,0.0,Aston Martin/Racing Point/Force India
2025,5,Saudi Arabian Grand Prix,Racing Bulls,HAD,14.0,10.0,1.0,RB/AlphaTauri/Toro Rosso
2025,5,Saudi Arabian Grand Prix,Haas F1 Team,BEA,15.0,13.0,0.0,Haas
2025,5,Saudi Arabian Grand Prix,Aston Martin,STR,16.0,16.0,0.0,Aston Martin/Racing Point/Force India
2025,5,Saudi Arabian Grand Prix,Alpine,DOO,17.0,17.0,0.0,Alpine/Renault
2025,5,Saudi Arabian Grand Prix,Kick Sauber,HUL,18.0,15.0,0.0,Sauber/Alfa Romeo
2025,5,Saudi Arabian Grand Prix,Haas F1 Team,OCO,19.0,14.0,0.0,Haas
2025,5,Saudi Arabian Grand Prix,Kick Sauber,BOR,20.0,18.0,0.0,Sauber/Alfa Romeo
2025,6,Miami Grand Prix,Red Bull Racing,VER,1.0,4.0,12.0,Red Bull Racing
2025,6,Miami Grand Prix,McLaren,NOR,2.0,2.0,18.0,McLaren
2025,6,Miami Grand Prix,Mercedes,ANT,3.0,6.0,8.0,Mercedes
2025,6,Miami Grand Prix,McLaren,PIA,4.0,1.0,25.0,McLaren
2025,6,Miami Grand Prix,Mercedes,RUS,5.0,3.0,15.0,Mercedes
2025,6,Miami Grand Prix,Williams,SAI,6.0,9.0,2.0,Williams
2025,6,Miami Grand Prix,Williams,ALB,7.0,5.0,10.0,Williams
2025,6,Miami Grand Prix,Ferrari,LEC,8.0,7.0,6.0,Ferrari
2025,6,Miami Grand Prix,Haas F1 Team,OCO,9.0,12.0,0.0,Haas
2025,6,Miami Grand Prix,Red Bull Racing,TSU,10.0,10.0,1.0,Red Bull Racing
2025,6,Miami Grand Prix,Racing Bulls,HAD,11.0,11.0,0.0,RB/AlphaTauri/Toro Rosso
2025,6,Miami Grand Prix,Ferrari,HAM,12.0,8.0,4.0,Ferrari
2025,6,Miami Grand Prix,Kick Sauber,BOR,13.0,18.0,0.0,Sauber/Alfa Romeo
2025,6,Miami Grand Prix,Alpine,DOO,14.0,20.0,0.0,Alpine/Renault
2025,6,Miami Grand Prix,Racing Bulls,LAW,15.0,17.0,0.0,RB/AlphaTauri/Toro Rosso
2025,6,Miami Grand Prix,Kick Sauber,HUL,16.0,14.0,0.0,Sauber/Alfa Romeo
