Season,RoundNumber,RaceName,Team,Driver,QualifyingPos,RaceFinishPos,RacePoints,TeamStd
2018,3,Chinese Grand Prix,Sauber,LEC,19.0,19.0,0.0,Sauber/Alfa Romeo
2018,3,Chinese Grand Prix,Sauber,ERI,20.0,16.0,0.0,Sauber/Alfa Romeo
2018,4,Azerbaijan Grand Prix,Ferrari,VET,1.0,4.0,12.0,Ferrari
2018,4,Azerbaijan Grand Prix,Mercedes,HAM,2.0,1.0,25.0,Mercedes
2018,4,Azerbaijan Grand Prix,Mercedes,BOT,3.0,14.0,0.0,Mercedes
2018,4,Azerbaijan Grand Prix,Red Bull Racing,RIC,4.0,17.0,0.0,Red Bull Racing
2018,4,Azerbaijan Grand Prix,Red Bull Racing,VER,5.0,16.0,0.0,Red Bull Racing
2018,4,Azerbaijan Grand Prix,Ferrari,RAI,6.0,2.0,18.0,Ferrari
2018,4,Azerbaijan Grand Prix,Force India,OCO,7.0,19.0,0.0,Aston Martin/Racing Point/Force India
2018,4,Azerbaijan Grand Prix,Force India,PER,8.0,3.0,15.0,Aston Martin/Racing Point/Force India
2018,4,Azerbaijan Grand Prix,Renault,HUL,9.0,18.0,0.0,Alpine/Renault
2018,4,Azerbaijan Grand Prix,Renault,SAI,10.0,5.0,10.0,Alpine/Renault
2018,4,Azerbaijan Grand Prix,Williams,STR,11.0,8.0,4.0,Williams
2018,4,Azerbaijan Grand Prix,Williams,SIR,12.0,20.0,0.0,Williams
2018,4,Azerbaijan Grand Prix,McLaren,ALO,13.0,7.0,6.0,McLaren
2018,4,Azerbaijan Grand Prix,Sauber,LEC,14.0,6.0,8.0,Sauber/Alfa Romeo
2018,4,Azerbaijan Grand Prix,Haas F1 Team,MAG,15.0,13.0,0.0,Haas
2018,4,Azerbaijan Grand Prix,McLaren,VAN,16.0,9.0,2.0,McLaren
2018,4,Azerbaijan Grand Prix,Toro Rosso,GAS,17.0,12.0,0.0,RB/AlphaTauri/Toro Rosso
2018,4,Azerbaijan Grand Prix,Sauber,ERI,18.0,11.0,0.0,Sauber/Alfa Romeo
2018,4,Azerbaijan Grand Prix,Toro Rosso,HAR,19.0,10.0,1.0,RB/AlphaTauri/Toro Rosso
2018,4,Azerbaijan Grand Prix,Haas F1 Team,GRO,20.0,15.0,0.0,Haas
2018,5,Spanish Grand Prix,Mercedes,HAM,1.0,1.0,25.0,Mercedes
2018,5,Spanish Grand Prix,Mercedes,BOT,2.0,2.0,18.0,Mercedes
2018,5,Spanish Grand Prix,Ferrari,VET,3.0,4.0,12.0,Ferrari
2018,5,Spanish Grand Prix,Ferrari,RAI,4.0,17.0,0.0,Ferrari
2018,5,Spanish Grand Prix,Red Bull Racing,VER,5.0,3.0,15.0,Red Bull Racing
