Season,Apparel & Sportswear,Automotive,Business Services,Consumer Goods & Retail,Crypto & Web3,Cybersecurity,Energy,Financial Services,Food & Beverage,Industrial & Aerospace,Luxury & Fashion,Luxury Watches,Media & Entertainment,Other,Technology,Telecom,"Travel, Hospitality & Logistics"
2018,16,44,4,4,0,5,8,7,13,33,2,8,4,1,44,10,9
2019,12,34,3,3,0,6,9,9,8,23,4,7,2,10,41,9,9
2020,24,46,6,6,0,8,8,13,11,30,7,7,5,8,60,8,12
2021,22,39,5,6,2,7,8,10,9,28,9,7,8,6,59,6,7
2022,22,32,5,11,11,9,10,13,10,25,14,8,9,7,66,5,7
2023,32,36,5,10,9,7,12,22,14,26,17,8,5,11,74,4,13
2024,33,38,6,4,8,5,12,22,17,27,18,8,9,7,73,3,12
2025,25,37,7,7,8,7,9,29,16,29,15,7,7,14,77,2,18
